image_id,region,terrain_type,optical_sensor,sar_sensor,date,crs,resolution_m,cloud_cover_pct,bounds_lon_min,bounds_lat_min,bounds_lon_max,bounds_lat_max,cloudy_geotiff,clear_geotiff,historical_geotiff,sar_geotiff
scene_pune_hadapsar,"Maharashtra, Pune Hadapsar & Magarpatta",urban,LISS-IV,Sentinel-1 C-SAR,2024-05-18,EPSG:4326,5.8,20.02,73.915,18.49,73.965,18.54,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_pune_hadapsar_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_pune_hadapsar_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_pune_hadapsar_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_pune_hadapsar_sar.tif"
scene_pune_hinjawadi,"Maharashtra, Pune Hinjawadi IT Hub",urban,Sentinel-2,Sentinel-1 C-SAR,2024-05-18,EPSG:4326,10.0,10.04,73.71,18.57,73.76,18.62,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_pune_hinjawadi_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_pune_hinjawadi_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_pune_hinjawadi_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_pune_hinjawadi_sar.tif"
scene_pune_kothrud,"Maharashtra, Pune Kothrud & Hills",urban,LISS-IV,Sentinel-1 C-SAR,2024-05-18,EPSG:4326,5.8,18.1,73.79,18.49,73.84,18.54,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_pune_kothrud_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_pune_kothrud_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_pune_kothrud_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_pune_kothrud_sar.tif"
scene_pune_shivajinagar,"Maharashtra, Pune Shivajinagar Confluence",urban,LISS-IV,Sentinel-1 C-SAR,2024-05-18,EPSG:4326,5.8,25.29,73.835,18.515,73.885,18.565,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_pune_shivajinagar_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_pune_shivajinagar_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_pune_shivajinagar_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_pune_shivajinagar_sar.tif"
scene_pune_khadakwasla,"Maharashtra, Pune Khadakwasla Lake",forest,Sentinel-2,Sentinel-1 C-SAR,2024-05-18,EPSG:4326,10.0,12.57,73.74,18.41,73.79,18.46,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_pune_khadakwasla_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_pune_khadakwasla_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_pune_khadakwasla_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_pune_khadakwasla_sar.tif"
scene_01_west_bengal_nadia,"West Bengal, Nadia District",agriculture,Sentinel-2,Sentinel-1 C-SAR,2024-05-12,EPSG:4326,10.0,24.68,88.4,22.9,88.55,23.05,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_01_west_bengal_nadia_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_01_west_bengal_nadia_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_01_west_bengal_nadia_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_01_west_bengal_nadia_sar.tif"
scene_02_maharashtra_pune,"Maharashtra, Pune Metropolitan Basin",urban,LISS-IV,Sentinel-1 C-SAR,2024-04-18,EPSG:4326,5.8,11.68,73.8,18.45,73.95,18.6,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_02_maharashtra_pune_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_02_maharashtra_pune_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_02_maharashtra_pune_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_02_maharashtra_pune_sar.tif"
scene_03_kerala_alappuzha,"Kerala, Alappuzha Backwaters",coastal,Sentinel-2,Sentinel-1 C-SAR,2024-06-02,EPSG:4326,10.0,12.4,76.3,9.45,76.45,9.6,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_03_kerala_alappuzha_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_03_kerala_alappuzha_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_03_kerala_alappuzha_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_03_kerala_alappuzha_sar.tif"
scene_04_punjab_ludhiana,"Punjab, Ludhiana Farms",agriculture,Sentinel-2,Sentinel-1 C-SAR,2024-03-22,EPSG:4326,10.0,14.25,75.8,30.85,75.95,31.0,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_04_punjab_ludhiana_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_04_punjab_ludhiana_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_04_punjab_ludhiana_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_04_punjab_ludhiana_sar.tif"
scene_05_karnataka_bengaluru,"Karnataka, Bengaluru Urban",urban,LISS-IV,Sentinel-1 C-SAR,2024-04-10,EPSG:4326,5.8,16.72,77.55,12.9,77.7,13.05,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_05_karnataka_bengaluru_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_05_karnataka_bengaluru_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_05_karnataka_bengaluru_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_05_karnataka_bengaluru_sar.tif"
scene_06_uttarakhand_dehradun,"Uttarakhand, Dehradun Valley",forest,Sentinel-2,Sentinel-1 C-SAR,2024-05-04,EPSG:4326,10.0,11.45,77.98,30.28,78.13,30.43,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_06_uttarakhand_dehradun_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_06_uttarakhand_dehradun_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_06_uttarakhand_dehradun_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_06_uttarakhand_dehradun_sar.tif"
scene_07_rajasthan_jaisalmer,"Rajasthan, Thar Desert",arid,Sentinel-2,Sentinel-1 C-SAR,2024-02-15,EPSG:4326,10.0,16.57,70.85,26.85,71.0,27.0,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_07_rajasthan_jaisalmer_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_07_rajasthan_jaisalmer_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_07_rajasthan_jaisalmer_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_07_rajasthan_jaisalmer_sar.tif"
